,1944,28.250000,7.000000
2500,1991,26.073060,0.368330
3287,1991,25.533890,0.363060
736,1991,25.436940,0.493890
1480,1991,25.475560,0.708330
365,1991,25.463060,0.704440
380,1991,25.436670,0.488060
180,1991,25.403610,0.525280
347,1991,24.718610,0.208330
576,1991,24.734440,0.201390
32,1991,24.746110,0.198890
143,1991,25.138060,0.285280
92,1991,25.131940,0.410560
48,1991,25.114440,0.314720
37,1991,25.433890,0.013060
621,1991,25.440280,0.075280
207,1991,25.526110,0.600560
256,1991,25.225830,0.173610
15000,1991,25.253060,0.140280
146,1991,25.143610,0.396390
28,1991,25.160560,0.299440
106,1991,25.488610,0.222220
338,1991,25.499720,0.661940
114,1992,25.604720,0.403060
41,1992,25.465000,0.083610
148,1992,25.466110,0.079440
46,1992,25.465830,0.073610
123,1992,25.468060,0.068610
800,1992,25.468330,0.057220
79,1992,25.534440,0.094440
472,1992,25.537220,0.137220
350,1992,25.523890,0.318060
170,1992,25.453060,0.401670
1342,1992,25.397500,0.607500
94,1992,25.145560,0.047500
59,1992,25.144720,0.040830
84,1992,25.220560,0.310280
576.4,2002,25.433330,0.400000
251.4,2002,25.400000,0.416670
151.1,2002,25.483330,0.150000
5400,2002,25.266670,0.150000
2350,2002,25.333330,0.550000
156.4,2002,25.216670,0.216670
3650,2002,25.283330,0.200000
65,2002,25.300000,0.200000
974,2002,25.425560,0.097500
1135,2002,25.195830,0.236670
30000,2002,25.407500,0.136390
1600,2002,25.192780,0.786110
50,2002,25.533330,0.416670
236,2002,25.250000,0.100000
180,2002,25.283330,0.100000
240,2002,25.583330,0.400000
107,2002,25.266670,0.100000
62285,2002,24.438170,0.103000
130,2002,24.424000,0.122330
496,2002,24.222170,0.473500
213,2003,25.240320,0.198480
90.4,2003,25.212830,0.038980
136,2003,25.290380,0.056220
320,2003,25.756100,0.267920
660,2002,25.366670,1.083330
581,2002,25.233330,0.150000
107000,1967,28.116670,0.533330
